city,country,time,max_temp,min_temp
Berlin,Germany,2026-08-12,25.0,13.2
Hamburg,Germany,2026-08-12,23.7,10.9
Munich,Germany,2026-08-12,29.8,16.7
Cologne,Germany,2026-08-12,32.0,17.1
Frankfurt am Main,Germany,2026-08-12,31.2,15.4
Stuttgart,Germany,2026-08-12,32.7,18.0
Düsseldorf,Germany,2026-08-12,32.5,16.3
Dortmund,Germany,2026-08-12,30.0,14.4
Essen,Germany,2026-08-12,31.1,15.4
Leipzig,Germany,2026-08-12,26.2,13.2
Bremen,Germany,2026-08-12,24.6,9.3
Dresden,Germany,2026-08-12,26.2,12.9
Hanover,Germany,2026-08-12,26.1,11.0
Nuremberg,Germany,2026-08-12,30.1,15.0
Duisburg,Germany,2026-08-12,32.2,15.9
Bochum,Germany,2026-08-12,30.6,14.9
Wuppertal,Germany,2026-08-12,30.7,14.8
Bielefeld,Germany,2026-08-12,26.6,10.7
Bonn,Germany,2026-08-12,32.1,15.7
Münster,Germany,2026-08-12,28.4,13.5
Karlsruhe,Germany,2026-08-12,33.1,17.2
Mannheim,Germany,2026-08-12,32.8,16.8
Augsburg,Germany,2026-08-12,29.7,15.6
Wiesbaden,Germany,2026-08-12,31.6,17.7
Gelsenkirchen,Germany,2026-08-12,31.1,15.0
Mönchengladbach,Germany,2026-08-12,32.4,15.3
Braunschweig,Germany,2026-08-12,25.6,10.5
Chemnitz,Germany,2026-08-12,25.2,10.8
Kiel,Germany,2026-08-12,20.1,9.4
Aachen,Germany,2026-08-12,31.6,16.1
Halle (Saale),Germany,2026-08-12,26.0,11.2
Magdeburg,Germany,2026-08-12,25.6,11.1
Freiburg im Breisgau,Germany,2026-08-12,34.0,17.3
Krefeld,Germany,2026-08-12,32.4,15.4
Lübeck,Germany,2026-08-12,21.5,9.4
Oberhausen,Germany,2026-08-12,31.6,14.9
Erfurt,Germany,2026-08-12,26.5,11.8
Mainz,Germany,2026-08-12,31.4,16.7
Rostock,Germany,2026-08-12,19.4,11.7
Kassel,Germany,2026-08-12,27.5,8.0
Hagen,Germany,2026-08-12,30.4,13.6
Saarbrücken,Germany,2026-08-12,32.8,17.4
Hamm,Germany,2026-08-12,28.2,11.3
Potsdam,Germany,2026-08-12,24.4,10.9
Ludwigshafen am Rhein,Germany,2026-08-12,32.8,16.4
Oldenburg,Germany,2026-08-12,24.8,6.9
Leverkusen,Germany,2026-08-12,31.9,15.6
Osnabrück,Germany,2026-08-12,26.5,11.4
Solingen,Germany,2026-08-12,30.7,14.6
Heilbronn,Germany,2026-08-12,32.6,17.0
Paderborn,Germany,2026-08-12,27.4,12.0
Ingolstadt,Germany,2026-08-12,30.2,15.6
Würzburg,Germany,2026-08-12,30.3,14.4
Fürth,Germany,2026-08-12,30.2,13.4
Ulm,Germany,2026-08-12,29.7,14.9
Heidelberg,Germany,2026-08-12,33.1,15.2
Pforzheim,Germany,2026-08-12,31.5,14.6
Würselen,Germany,2026-08-12,30.9,13.7
Göttingen,Germany,2026-08-12,26.3,8.7
Bremerhaven,Germany,2026-08-12,23.6,9.8
Regensburg,Germany,2026-08-12,29.9,15.4
Recklinghausen,Germany,2026-08-12,29.9,13.1
Bergisch Gladbach,Germany,2026-08-12,31.9,15.6
Jena,Germany,2026-08-12,26.6,9.9
Remscheid,Germany,2026-08-12,29.6,13.8
Koblenz,Germany,2026-08-12,31.8,15.3
Erlangen,Germany,2026-08-12,30.3,11.1
Moers,Germany,2026-08-12,31.9,15.6
Siegen,Germany,2026-08-12,29.4,13.5
Hildesheim,Germany,2026-08-12,25.5,10.6
Cottbus,Germany,2026-08-12,24.8,11.4
Kaiserslautern,Germany,2026-08-12,31.5,15.5
Gütersloh,Germany,2026-08-12,27.8,12.0
Trier,Germany,2026-08-12,34.0,17.5
Erlangen,Germany,2026-08-12,30.3,11.1
Zwickau,Germany,2026-08-12,26.0,8.8
Darmstadt,Germany,2026-08-12,31.6,15.5
Ratingen,Germany,2026-08-12,32.1,15.0
Hagen,Germany,2026-08-12,30.4,13.6
Rostock,Germany,2026-08-12,19.4,11.7
Witten,Germany,2026-08-12,30.5,13.8
Salzgitter,Germany,2026-08-12,25.6,9.5
Tübingen,Germany,2026-08-12,32.7,16.4
Ravensburg,Germany,2026-08-12,31.9,16.5
Neuss,Germany,2026-08-12,32.9,16.2
Düren,Germany,2026-08-12,31.6,14.1
Wolfsburg,Germany,2026-08-12,25.1,8.5
Pforzheim,Germany,2026-08-12,31.5,14.6
Bayreuth,Germany,2026-08-12,28.8,10.9
Ludwigsburg,Germany,2026-08-12,32.1,16.6
Flensburg,Germany,2026-08-12,21.8,8.2
Konstanz,Germany,2026-08-12,32.7,19.0
Halle,Germany,2026-08-12,26.0,11.2
Stralsund,Germany,2026-08-12,19.2,9.7
Weimar,Germany,2026-08-12,25.9,9.9
Gera,Germany,2026-08-12,25.9,10.7
Worms,Germany,2026-08-12,32.0,15.8
Nordhausen,Germany,2026-08-12,25.9,8.5
Passau,Germany,2026-08-12,29.6,14.9
