city,country,time,max_temp,min_temp,mean_temp,Weather_condtion
Berlin,Germany,2026-08-12,25.0,13.2,19.1,soft
Hamburg,Germany,2026-08-12,23.7,10.9,17.3,soft
Munich,Germany,2026-08-12,29.8,16.7,23.25,hot
Cologne,Germany,2026-08-12,32.0,17.1,24.55,hot
Frankfurt am Main,Germany,2026-08-12,31.2,15.4,23.3,hot
Stuttgart,Germany,2026-08-12,32.7,18.0,25.35,hot
Düsseldorf,Germany,2026-08-12,32.5,16.3,24.4,hot
Dortmund,Germany,2026-08-12,30.0,14.4,22.2,hot
Essen,Germany,2026-08-12,31.1,15.4,23.25,hot
Leipzig,Germany,2026-08-12,26.2,13.2,19.7,soft
Bremen,Germany,2026-08-12,24.6,9.3,16.95,soft
Dresden,Germany,2026-08-12,26.2,12.9,19.55,soft
Hanover,Germany,2026-08-12,26.1,11.0,18.55,soft
Nuremberg,Germany,2026-08-12,30.1,15.0,22.55,hot
Duisburg,Germany,2026-08-12,32.2,15.9,24.05,hot
Bochum,Germany,2026-08-12,30.6,14.9,22.75,hot
Wuppertal,Germany,2026-08-12,30.7,14.8,22.75,hot
Bielefeld,Germany,2026-08-12,26.6,10.7,18.65,soft
Bonn,Germany,2026-08-12,32.1,15.7,23.9,hot
Münster,Germany,2026-08-12,28.4,13.5,20.95,hot
Karlsruhe,Germany,2026-08-12,33.1,17.2,25.15,hot
Mannheim,Germany,2026-08-12,32.8,16.8,24.8,hot
Augsburg,Germany,2026-08-12,29.7,15.6,22.65,hot
Wiesbaden,Germany,2026-08-12,31.6,17.7,24.65,hot
Gelsenkirchen,Germany,2026-08-12,31.1,15.0,23.05,hot
Mönchengladbach,Germany,2026-08-12,32.4,15.3,23.85,hot
Braunschweig,Germany,2026-08-12,25.6,10.5,18.05,soft
Chemnitz,Germany,2026-08-12,25.2,10.8,18.0,soft
Kiel,Germany,2026-08-12,20.1,9.4,14.75,soft
Aachen,Germany,2026-08-12,31.6,16.1,23.85,hot
